Año,Trimestre,Provincia,Banda ancha fija,Dial up
2017,2,Tierra Del Fuego,31938,619.0
2017,2,Tucumán,154374,37.0
2017,1,Buenos Aires,3178174,11202.0
2017,1,Capital Federal,1391030,8016.0
2017,1,Catamarca,26304,13.0
2017,1,Chaco,89036,14.0
2017,1,Chubut,62166,1730.0
2017,1,Córdoba,641066,133.0
2017,1,Corrientes,88596,12.0
2017,1,Entre Ríos,180296,57.0
2017,1,Formosa,29705,0.0
2017,1,Jujuy,43202,1.0
2017,1,La Pampa,71458,455.0
2017,1,La Rioja,16207,18.0
2017,1,Mendoza,169282,1451.0
2017,1,Misiones,97619,0.0
2017,1,Neuquén,113227,2112.0
2017,1,Río Negro,100288,1000.0
2017,1,Salta,107632,1.0
2017,1,San Juan,51253,620.0
2017,1,San Luis,12992,315.0
2017,1,Santa Cruz,26116,370.0
2017,1,Santa Fe,562520,362.0
2017,1,Santiago Del Estero,34473,2.0
2017,1,Tierra Del Fuego,31938,619.0
2017,1,Tucumán,152734,37.0
2016,4,Buenos Aires,3131499,11202.0
2016,4,Capital Federal,1393443,8016.0
2016,4,Catamarca,27021,13.0
2016,4,Chaco,88833,14.0
2016,4,Chubut,62035,1730.0
2016,4,Córdoba,636422,133.0
2016,4,Corrientes,88084,12.0
2016,4,Entre Ríos,180188,57.0
2016,4,Formosa,29513,0.0
2016,4,Jujuy,42624,1.0
2016,4,La Pampa,71368,460.0
2016,4,La Rioja,16298,18.0
2016,4,Mendoza,169274,1451.0
2016,4,Misiones,97390,0.0
2016,4,Neuquén,111723,2112.0
2016,4,Río Negro,100020,1000.0
2016,4,Salta,106934,1.0
2016,4,San Juan,51301,620.0
2016,4,San Luis,12992,315.0
2016,4,Santa Cruz,26094,370.0
2016,4,Santa Fe,561470,362.0
2016,4,Santiago Del Estero,35049,2.0
2016,4,Tierra Del Fuego,31938,619.0
2016,4,Tucumán,151615,37.0
2016,3,Buenos Aires,3075387,11205.0
2016,3,Capital Federal,1395053,8051.0
2016,3,Catamarca,26957,13.0
2016,3,Chaco,89216,14.0
2016,3,Chubut,62222,1730.0
2016,3,Córdoba,642458,133.0
2016,3,Corrientes,88328,12.0
2016,3,Entre Ríos,181092,57.0
2016,3,Formosa,27716,0.0
2016,3,Jujuy,42537,1.0
2016,3,La Pampa,69903,461.0
2016,3,La Rioja,16912,18.0
2016,3,Mendoza,169174,1450.0
2016,3,Misiones,97997,0.0
2016,3,Neuquén,110491,2112.0
2016,3,Río Negro,100024,1002.0
2016,3,Salta,107790,1.0
2016,3,San Juan,51348,620.0
2016,3,San Luis,12978,315.0
2016,3,Santa Cruz,25886,371.0
2016,3,Santa Fe,566625,386.0
2016,3,Santiago Del Estero,35658,2.0
2016,3,Tierra Del Fuego,31306,619.0
